Date,yhat
2025-08-10,114363.01730772316
2025-08-11,114486.09345963359
2025-08-12,114654.36218820576
2025-08-13,115024.82235634231
2025-08-14,115313.76290598516
2025-08-15,115716.74667212814
2025-08-16,116149.85979585953
2025-08-17,116579.51054774266
2025-08-18,117094.99112431373
2025-08-19,117540.18112187463
2025-08-20,118108.11554124967
2025-08-21,118539.45163104153
2025-08-22,119045.96778698286
2025-08-23,119554.59850549424
2025-08-24,120039.10573356078
2025-08-25,120593.72538132995
2025-08-26,121065.86328781804
2025-08-27,121651.05992023495
2025-08-28,122091.87177591401
2025-08-29,122601.56483723855
2025-08-30,123108.24951165341
2025-08-31,123586.76877623588
2025-09-01,124132.20606887729
2025-09-02,124592.76731484517
2025-09-03,125164.8309657763
2025-09-04,125591.42763547506
2025-09-05,126086.36918325766
2025-09-06,126578.25846159951
2025-09-07,127042.30098051019
2025-09-08,127573.91793437715
