Date,yhat
2025-08-10,120889.414
2025-08-11,121037.64
2025-08-12,121437.61
2025-08-13,122010.766
2025-08-14,122703.664
2025-08-15,123480.33
2025-08-16,124316.45
2025-08-17,125195.4
2025-08-18,126105.82
2025-08-19,127039.71
2025-08-20,127991.33
2025-08-21,128956.516
2025-08-22,129932.086
2025-08-23,130915.59
2025-08-24,131905.08
2025-08-25,132898.88
2025-08-26,133895.66
2025-08-27,134894.17
2025-08-28,135893.42
2025-08-29,136892.45
2025-08-30,137890.36
2025-08-31,138886.48
2025-09-01,139879.98
2025-09-02,140870.27
2025-09-03,141856.92
2025-09-04,142839.12
2025-09-05,143816.31
2025-09-06,144787.95
2025-09-07,145753.61
2025-09-08,146712.72
