Date,yhat
2025-08-10,107836.62055294632
2025-08-11,107934.54629426717
2025-08-12,107871.11500141153
2025-08-13,108038.87908768462
2025-08-14,107923.86174947032
2025-08-15,107953.16521925628
2025-08-16,107983.26646671907
2025-08-17,107963.62265798531
2025-08-18,108084.16193612745
2025-08-19,108040.65130624926
2025-08-20,108224.90295749935
2025-08-21,108122.38763708307
2025-08-22,108159.8496364657
2025-08-23,108193.60326098849
2025-08-24,108173.13334212157
2025-08-25,108288.57576265991
2025-08-26,108236.07032563607
2025-08-27,108407.9479654699
2025-08-28,108290.32167682803
2025-08-29,108310.67654947711
2025-08-30,108326.13964830682
2025-08-31,108287.05317747177
2025-09-01,108384.42776275458
2025-09-02,108315.26900469036
2025-09-03,108472.7400565526
2025-09-04,108343.73027095014
2025-09-05,108356.42586651533
2025-09-06,108368.56379819903
2025-09-07,108330.99258602038
2025-09-08,108435.1171187543
