ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-01,224.00143920117188,-7630.881768512493,5938.4644272094165,224.00143920117188,224.00143920117188,-1396.2147156903163,-1396.2147156903163,-1396.2147156903163,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.1083273030466,-34.1083273030466,-34.1083273030466,1702.1109045624175,1702.1109045624175,1702.1109045624175,0.0,0.0,0.0,-1172.2132764891444
2017-01-02,262.415291894477,-8557.493868002424,5684.032290177951,262.415291894477,262.415291894477,-1283.673194617149,-1283.673194617149,-1283.673194617149,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.131018962904516,29.131018962904516,29.131018962904516,1751.4130793696343,1751.4130793696343,1751.4130793696343,0.0,0.0,0.0,-1021.257902722672
2017-01-03,300.82914458778214,-8321.252276331541,5783.564107606582,300.82914458778214,300.82914458778214,-1294.8326992733191,-1294.8326992733191,-1294.8326992733191,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.22055793295064,-26.22055793295064,-26.22055793295064,1795.6051516093191,1795.6051516093191,1795.6051516093191,0.0,0.0,0.0,-994.003554685537
2017-01-04,339.2429972810873,-8233.495697814697,6057.349561287037,339.2429972810873,339.2429972810873,-1154.0104675895197,-1154.0104675895197,-1154.0104675895197,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,76.84810752235636,76.84810752235636,76.84810752235636,1833.3587178378116,1833.3587178378116,1833.3587178378116,0.0,0.0,0.0,-814.7674703084324
2017-01-05,377.6568499743924,-8150.038953743342,5983.189791635092,377.6568499743924,377.6568499743924,-1216.1186684417687,-1216.1186684417687,-1216.1186684417687,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-15.36168091321888,-15.36168091321888,-15.36168091321888,1863.4603054211377,1863.4603054211377,1863.4603054211377,0.0,0.0,0.0,-838.4618184673764
2017-01-06,416.07070266769756,-7693.201716603617,6185.925135407706,416.07070266769756,416.07070266769756,-1191.6428590485543,-1191.6428590485543,-1191.6428590485543,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-12.273602211982912,-12.273602211982912,-12.273602211982912,1884.848036113116,1884.848036113116,1884.848036113116,0.0,0.0,0.0,-775.5721563808568
2017-01-07,454.4845553610027,-7799.587485894034,6954.4531643622795,454.4845553610027,454.4845553610027,-1185.5870203323632,-1185.5870203323632,-1185.5870203323632,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-18.01495812377006,-18.01495812377006,-18.01495812377006,1896.6452307410943,1896.6452307410943,1896.6452307410943,0.0,0.0,0.0,-731.1024649713604
2017-01-08,492.8984080543079,-7674.089195263723,6179.601620520648,492.8984080543079,492.8984080543079,-1200.135661062717,-1200.135661062717,-1200.135661062717,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-34.10832730309963,-34.10832730309963,-34.10832730309963,1898.1899591900703,1898.1899591900703,1898.1899591900703,0.0,0.0,0.0,-707.2372530084091
2017-01-09,531.312260747613,-7649.035334552208,6248.742696679541,531.312260747613,531.312260747613,-1146.026642471158,-1146.026642471158,-1146.026642471158,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,29.13101896279273,29.13101896279273,29.13101896279273,1889.0596315157366,1889.0596315157366,1889.0596315157366,0.0,0.0,0.0,-614.7143817235451
2017-01-10,569.7261134409181,-8039.89310381048,6064.609059985176,569.7261134409181,569.7261134409181,-1221.3480060994416,-1221.3480060994416,-1221.3480060994416,-3064.2172929496874,-3064.2172929496874,-3064.2172929496874,-26.220557933022018,-26.220557933022018,-26.220557933022018,1869.0898447832678,1869.0898447832678,1869.0898447832678,0.0,0.0,0.0,-651.6218926585235
