Date,yhat
2025-08-10,0.20689915
2025-08-11,0.20959334
2025-08-12,0.2113163
2025-08-13,0.2125668
2025-08-14,0.2135876
2025-08-15,0.21449524
2025-08-16,0.21534431
2025-08-17,0.21615936
2025-08-18,0.21695077
2025-08-19,0.2177224
2025-08-20,0.21847531
2025-08-21,0.21920936
2025-08-22,0.21992424
2025-08-23,0.22061956
2025-08-24,0.22129513
2025-08-25,0.22195084
2025-08-26,0.22258665
2025-08-27,0.22320281
2025-08-28,0.22379945
2025-08-29,0.22437689
2025-08-30,0.22493534
2025-08-31,0.22547524
2025-09-01,0.22599684
2025-09-02,0.22650048
2025-09-03,0.2269866
2025-09-04,0.2274555
2025-09-05,0.22790758
2025-09-06,0.22834323
2025-09-07,0.22876279
2025-09-08,0.22916667
