ds,yhat,yhat_lower,yhat_upper
2020-01-01,3838.071513463862,-4117.323479276368,11541.529093243387
2020-01-02,3879.2823577169634,-3998.29522151039,12195.648457976125
2020-01-03,4053.5949473188393,-4400.335642878322,12212.427587359449
2020-01-04,4214.29501063522,-3759.00263638969,12295.777824808536
2020-01-05,4313.1642996212695,-4099.39906388081,12872.041503909422
2020-01-06,4535.083049994274,-3692.6777908503127,12625.98027202245
2020-01-07,4576.323944860093,-3440.630801802619,11958.855483052948
2020-01-08,4827.561834265249,-3307.8930705601906,12907.36731961096
2020-01-09,4775.822492053492,-3237.5364673240974,12531.310159118033
2020-01-10,4847.511409848751,-3084.1786206509114,12929.97440580061
2020-01-11,4898.461813850604,-2453.1757803378428,13436.356121443494
2020-01-12,4883.214951957296,-3160.1192912996225,13156.988030464852
2020-01-13,4989.555092335377,-2999.407015178162,12910.83968750449
2020-01-14,4916.731287044936,-3609.523232144078,12798.285525025512
2020-01-15,5058.391980031066,-3168.248447775513,12308.263235700215
2020-01-16,4904.457673670193,-2824.9958180461113,13292.272435203342
2020-01-17,4884.074641472561,-3825.287962936369,12501.402680668365
2020-01-18,4855.590862287567,-3372.815514261376,13372.024348558056
2020-01-19,4775.769160997059,-3755.9402309575453,12695.344409407853
2020-01-20,4834.261829007901,-2832.8940199177014,13473.190886183003
2020-01-21,4731.780453788666,-3420.453432635029,12996.863928716359
2020-01-22,4862.988508640277,-3097.912266861031,12966.28826681463
2020-01-23,4718.343142408088,-3869.4583998228745,12758.931373115523
2020-01-24,4727.030099786824,-3528.527095293483,12526.518045821407
2020-01-25,4746.933579192797,-3470.3009686225632,12774.487773540484
2020-01-26,4733.856312739691,-3725.9730578832064,12252.04926346939
2020-01-27,4876.014097156025,-2907.1899688339195,13164.226326919383
2020-01-28,4872.238113903644,-2968.774735886281,13203.637645749874
2020-01-29,5114.911858939373,-2886.923164691772,12961.284909259391
2020-01-30,5091.86806758703,-3172.380902809188,13338.033964232593
2020-01-31,5229.388212618844,-3055.8221854720427,13494.719479282607
2020-02-01,5382.244765230681,-2605.8867307234923,13984.094483383415
2020-02-02,5502.99966258084,-2361.1506117829513,13764.346150446956
2020-02-03,5776.581193865818,-2697.5093815654686,13188.704480012406
2020-02-04,5898.570503243044,-1622.7981828504362,14272.76363093977
2020-02-05,6258.222323568039,-2335.8286020343226,14341.395577657979
2020-02-06,6340.443112498988,-1998.0850316470849,14220.614305142733
2020-02-07,6568.867007250134,-2473.255558892693,14764.435457755115
2020-02-08,6795.967736752818,-1030.9916488840122,14472.125960284187
2020-02-09,6972.418050933571,-1269.5018128920588,14994.891727680688
2020-02-10,7281.717214180316,-637.4913280146632,14905.513438032378
2020-02-11,7418.5163617822955,-1231.29120043166,15273.892978267499
2020-02-12,7771.665238849648,-819.5671575825827,15919.614651492153
2020-02-13,7826.202735175226,117.42834644934966,15610.581228357143
2020-02-14,8006.431233324056,174.74429500922548,15829.771223151289
2020-02-15,8166.012881561272,652.7543188714454,16637.723669491843
2020-02-16,8257.299699032248,217.36999493472663,15611.711193157375
2020-02-17,8465.918775382981,-179.11213421227845,16414.02335281874
2020-02-18,8489.04342889992,432.0742120737277,16677.83815715844
2020-02-19,8718.375231047037,671.9438322237942,16438.957979704574
2020-02-20,8642.06098651542,323.00152264138904,16531.609330322077
2020-02-21,8687.686604997476,289.7986000815433,17032.83312222633
2020-02-22,8712.288087864928,1319.2107246408352,16916.455230587297
2020-02-23,8671.593785045663,984.1405223325845,16811.146685078762
2020-02-24,8754.521508463045,475.3871975660992,16852.65656739637
2020-02-25,8661.363703988009,-126.30515679576881,16633.65955473514
2020-02-26,8786.687878318677,710.0307916230392,17543.22447559503
2020-02-27,8621.178547115918,46.4457592786757,16600.661050596
2020-02-28,8594.564647297506,806.7081813732791,16808.083452513212
2020-02-29,8565.574418164795,433.1952576142088,16395.959284671084
2020-03-01,8491.133414169533,533.1422263938379,16267.833227912202
2020-03-02,8560.830427814302,356.0214188872334,16504.679006410468
2020-03-03,8475.085368421638,-345.6166826925457,16425.588612870208
2020-03-04,8628.04676511507,655.3679226828494,17027.17584581593
2020-03-05,8509.4452469271,500.57101445354516,16347.123712454215
2020-03-06,8547.546641262936,407.750149236036,16113.698992159214
2020-03-07,8599.146017984105,-6.408263445281786,16206.343455784916
2020-03-08,8618.81727201265,1088.8519622632891,16684.77070058277
