Date,yhat
2025-08-10,166.2545
2025-08-11,166.62004
2025-08-12,166.84238
2025-08-13,166.9879
2025-08-14,167.09778
2025-08-15,167.19609
2025-08-16,167.29614
2025-08-17,167.40468
2025-08-18,167.52435
2025-08-19,167.65572
2025-08-20,167.79782
2025-08-21,167.9493
2025-08-22,168.1085
2025-08-23,168.27362
2025-08-24,168.4431
2025-08-25,168.61546
2025-08-26,168.78938
2025-08-27,168.96373
2025-08-28,169.13757
2025-08-29,169.31009
2025-08-30,169.48071
2025-08-31,169.6488
2025-09-01,169.81407
2025-09-02,169.9761
2025-09-03,170.13472
2025-09-04,170.28975
2025-09-05,170.44109
2025-09-06,170.5886
2025-09-07,170.73242
2025-09-08,170.87238
